property_id,households,buildings,building_age,min_area,max_area,floor_area_ratio,sale_price_min,sale_price_max,jeonse_price_min,jeonse_price_max,price_per_pyeong,sale_transactions,jeonse_transactions,total_transactions,jeonse_ratio,gap,sale_price_range_ratio,price_deviation_ratio,transactions_per_household,has_sale_price,has_jeonse_price,has_transactions,abnormal_jeonse_low,abnormal_jeonse_high,abnormal_price_dev,low_gap_flag,no_transaction_flag,excessive_price_range,fraud_score,is_suspicious,risk_level
304,620,8,40,73.66,103.93,145,300000,380000,40000,60000,13464,39,7,57,13.3,260000,0.26666666666666666,1.1863810754288482,0.09193548387096774,1,1,1,1,0,1,1,0,0,18,1,2
113151,1320,23,6,67.54,176.63,249,310000,700000,100000,230000,15173,104,146,501,32.3,210000,1.2580645161290323,1.4639007766994885,0.3795454545454545,1,1,1,0,0,1,1,0,0,10,1,1
667,405,5,41,110.6,182.45,179,310000,450000,85000,125000,9266,88,4,144,27.4,225000,0.45161290322580644,0.5046796676265379,0.35555555555555557,1,1,1,1,0,1,1,0,0,18,1,2
8710,805,7,20,152.54,202.99,297,550000,670000,270000,350000,11919,57,46,126,49.1,280000,0.21818181818181817,0.9354928727002704,0.1565217391304348,1,1,1,0,0,1,1,0,0,10,1,1
10329,54,1,37,98.54,98.54,185,235000,240000,85000,85000,7884,12,3,16,36.2,150000,0.02127659574468085,0.28026057625379075,0.2962962962962963,1,1,1,0,0,0,1,0,0,3,0,0
19418,768,11,17,78.71,179.41,274,320000,550000,119500,270000,13440,115,192,490,37.3,200500,0.71875,1.182483782959278,0.6380208333333334,1,1,1,0,0,1,1,0,0,10,1,1
146479,16,1,8,33.02,36.32,297,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
127927,20,1,6,16.12,39.97,359,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
3311,64,1,23,247.26,256.17,295,410000,450000,0,0,5482,21,0,21,0.0,0,0.0975609756097561,-0.10979344507568736,0.328125,1,0,1,0,0,0,0,0,0,0,0,0
8967,18,1,31,148.38,148.38,167,260000,260000,0,0,5793,3,0,3,0.0,0,0.0,-0.05929103015750765,0.16666666666666666,1,0,1,0,0,0,0,0,0,0,0,0
271,128,2,39,102.41,102.41,187,330000,380000,0,0,10652,2,0,2,0.0,0,0.15151515151515152,0.7297483077442134,0.015625,1,0,1,0,0,1,0,0,0,7,0,0
294,180,4,39,98.96,98.96,179,295000,300000,0,0,9855,4,0,4,0.0,0,0.01694915254237288,0.6003257203172384,0.022222222222222223,1,0,1,0,0,1,0,0,0,7,0,0
10863,19,1,32,152.22,153.01,238,220000,220000,120000,120000,4778,2,3,7,54.5,100000,0.0,-0.22411402418307813,0.3684210526315789,1,1,1,0,0,0,1,0,0,3,0,0
102378,10,1,19,152.26,152.26,239,0,0,0,0,0,0,0,1,0.0,0,0.0,0.0,0.1,0,0,1,0,0,0,0,0,0,0,0,0
15133,57,4,29,160.05,190.97,220,280000,350000,140000,140000,5783,6,4,10,50.0,140000,0.25,-0.06091490201982854,0.17543859649122806,1,1,1,0,0,0,1,0,0,3,0,0
975,47,1,27,207.29,219.68,853,250000,330000,0,0,3987,19,0,19,0.0,0,0.32,-0.35256228849266064,0.40425531914893614,1,0,1,0,0,0,0,0,0,0,0,0
3039,813,2,22,92.87,325.2,923,300000,1100000,109000,550000,10679,85,24,130,36.3,191000,2.6666666666666665,0.7341327617724799,0.15990159901599016,1,1,1,0,0,1,1,0,1,15,1,2
770,270,8,38,73.72,86.52,106,249000,328000,0,0,11166,11,0,11,0.0,0,0.3172690763052209,0.8132153214675073,0.040740740740740744,1,0,1,0,0,1,0,0,0,7,0,0
